,Unnamed: 0,age,type_employer,education,education_num,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
0,18099,45,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,United-States,-0.874184551336
1,10672,17,Private,12th,8,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,-4.2757808301
2,17947,24,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,-2.95538682387
3,13753,46,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,4064,0,40,United-States,0.208185120165
4,4279,59,Private,Bachelors,13,Separated,Adm-clerical,Unmarried,White,Male,0,0,60,United-States,-1.30863633754
5,13849,54,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,-1.12082853751
6,8275,56,Private,HS-grad,9,Divorced,Other-service,Unmarried,Black,Female,0,0,40,Jamaica,-4.37657801774
7,29198,27,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1651,40,United-States,-0.378228383388
8,4618,32,Federal-gov,Assoc-voc,11,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,0,0,40,United-States,-2.47022641077
9,26996,33,Private,1st-4th,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,2603,32,Mexico,-0.698108917142
10,9401,38,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,56,United-States,-3.40276436543
11,27042,57,Self-emp-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,5178,0,60,Hungary,1.28798147778
12,26948,25,Private,11th,7,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,-3.66044684842
13,5442,46,Private,5th-6th,3,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,45,Italy,-1.43954452326
14,7603,61,Self-emp-inc,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,55,United-States,-1.83903328668
15,2038,50,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,38,United-States,-0.665991308686
16,10617,51,State-gov,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,0,2444,39,United-States,-0.258888080608
17,15590,30,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,30,United-States,-2.58316496305
18,17548,52,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,14,United-States,-1.36544955136
19,1007,66,Private,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,-3.39494426565
20,521,38,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,80,United-States,6.75027212501
21,8969,61,Private,9th,5,Divorced,Sales,Not-in-family,White,Male,0,0,25,United-States,-3.65871376824
22,29375,23,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,66,Ecuador,-3.65700532662
23,19344,35,Private,Assoc-acdm,12,Married-spouse-absent,Sales,Own-child,Black,Female,0,0,36,United-States,-3.31752776481
24,32371,53,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,27828,0,40,Philippines,7.2431158709
