Store,Name,Store Status,Address,City,State,Zip Code,Store Address,Report Date
5218,Gasland Express / Chariton,A,"2130, Court Ave",Chariton,IA,50049,"2130, Court Ave
Chariton, IA 50049
(41.014576, -93.327017)",10/01/2016
5219,Kirkwood Liquor & Tobacco,A,"300, Kirkwood Ave",Iowa City,IA,52240,"300, Kirkwood Ave
Iowa City, IA 52240
(41.649432, -91.531628)",10/01/2016
5220,Liquor Tobacco & Grocery / Mason Cit,A,"2771, 4th St SW",Mason City,IA,50401,"2771, 4th St SW
Mason City, IA 50401
(43.148281, -93.241626)",10/01/2016
5221,Gasland Express / Corydon,A,"214, W Jefferson St",Corydon,IA,50060,"214, W Jefferson St
Corydon, IA 50060
(40.757173, -93.320052)",10/01/2016
5222,Leo1  /  Cedar Rapids,A,"1500, 1st  Ave NE",Cedar Rapids,IA,52402,"1500, 1st Ave NE
Cedar Rapids, IA 52402
(41.98817, -91.652188)",10/01/2016
5223,Casey's General Store #1503 / Tabor,A,"721, Main St",Tabor,IA,51653,"721, Main St
Tabor, IA 51653
(40.899269, -95.671321)",10/01/2016
5224,Keystone Liquor & Wine / Coralville,A,517 2nd St,Coralville,IA,52241,"517 2nd St
Coralville, IA 52241
(41.671398, -91.573591)",10/01/2016
5225,The Station II / North Liberty,A,"620, Meade Dr",North Liberty,IA,52317,"620, Meade Dr
North Liberty, IA 52317
(41.752666, -91.608704)",10/01/2016
5226,KC Brothers,A,214 MYRTLE ST,Davenport,IA,52802,"214 MYRTLE ST
Davenport, IA 52802
(41.521586, -90.589149)",10/01/2016
5227,Flaming Hot Fish and Chicken LLC,A,"320, N  4th St",Clinton,IA,52732,"320, N 4th St
Clinton, IA 52732
(41.848124, -90.193275)",10/01/2016
5228,Anthon Mini Mart,A,"101, W Main St",Anthon,IA,51004,"101, W Main St
Anthon, IA 51004
(42.388265, -95.868594)",10/01/2016
5229,Casey's General Store #3422 / Norwal,A,"500, North Ave",Norwalk,IA,50211,"500, North Ave
Norwalk, IA 50211
(41.47539, -93.682581)",10/01/2016
5230,Point Liquor & Tobacco,A,"4107, Center Point Rd NE",Cedar Rapids,IA,52402,"4107, Center Point Rd NE
Cedar Rapids, IA 52402
(42.02088, -91.665196)",10/01/2016
5258,Oky Doky # 8 Foods,A,"535, Hill Street",Dubuque,IA,52001,"535, Hill Street
Dubuque, IA 52001
(42.496714, -90.67404)",10/01/2016
5232,Casey's General Store #27  /  Audubo,A,400 Market St,Audubon,IA,50025,"400 Market St
Audubon, IA 50025
(41.720076, -94.934089)",10/01/2016
5233,Casey's General Store #2640 / Pleasa,A,1006 W Pleasant St,Pleasantville,IA,50225,"1006 W Pleasant St
Pleasantville, IA 50225
(41.392695, -93.279175)",10/01/2016
5234,Casey's General Store #3473 / Dubuqu,A,"1072, Cedar Cross Rd",Dubuque,IA,52003,"1072, Cedar Cross Rd
Dubuque, IA 52003
(42.477806, -90.707394)",10/01/2016
5235,Kum & Go #540 / Waukee,A,"3105, Grand Prairie Pkwy",Waukee,IA,50263,"3105, Grand Prairie Pkwy
Waukee, IA 50263
",10/01/2016
5236,"Giggle Juice Liquor Station, LLC",A,600 W Main St,Anamosa,IA,52205,"600 W Main St
Anamosa, IA 52205
(42.108203, -91.290836)",10/01/2016
5237,World Liquor & Tobacco + Vape,A,"606, N 15th St",Fort Dodge,IA,50501,"606, N 15th St
Fort Dodge, IA 50501
(42.512182, -94.17795)",10/01/2016
5238,New Star / Fort Dodge,A,"1923, 5th  Ave  S",Fort Dodge,IA,50501,"1923, 5th Ave S
Fort Dodge, IA 50501
(42.501169, -94.170859)",10/01/2016
5239,Lefty's Convenience Store Inc.,A,4649 Hwy 13,Central City,IA,52214,"4649 Hwy 13
Central City, IA 52214
(42.19892, -91.532662)",10/01/2016
5240,Casey's General Store #3463 / West B,A,"615, S  Downey St",West Branch,IA,52358,"615, S Downey St
West Branch, IA 52358
(41.670876, -91.346618)",10/01/2016
5241,BP  /  Dubuque,A,"1450, Loras Blvd",Dubuque,IA,52001,"1450, Loras Blvd
Dubuque, IA 52001
(42.500735, -90.687211)",10/01/2016
5242,Kum & Go #502 / Iowa City,A,"2303, Muscatine Ave",Iowa City,IA,52240,"2303, Muscatine Ave
Iowa City, IA 52240
(41.649545, -91.50163)",10/01/2016
5243,New Star / Lafayette / Waterloo,A,"1309, Lafayette St",Waterloo,IA,50703,"1309, Lafayette St
Waterloo, IA 50703
(42.49408, -92.327154)",10/01/2016
5244,The Ox & Wren Spirits and Gifts,A,708 2nd  AVE  SE,Cresco,IA,52136,"708 2nd AVE SE
Cresco, IA 52136
(43.371131, -92.106529)",10/01/2016
5245,Phillips 66,A,"1516, SE  1st St",Des Moines,IA,50315,"1516, SE 1st St
Des Moines, IA 50315
(41.575862, -93.613501)",10/01/2016
5246,Casey's General Store #3476 / Forest,A,1132 HWY  69 SOUTH,Forest City,IA,50436,"1132 HWY 69 SOUTH
Forest City, IA 50436
(43.24869, -93.637192)",10/01/2016
5247,Rockwell Area Market,A,202 4th  ST  N,Rockwell,IA,50469,"202 4th ST N
Rockwell, IA 50469
(42.986351, -93.188172)",10/01/2016
5248,Liquor and Grocery Depot,A,"114, N  Center  St",Marshalltown,IA,50158,"114, N Center St
Marshalltown, IA 50158
(42.051619, -92.912975)",10/01/2016
5249,W-Mart,A,"1205/1207, Locust St.",Davenport,IA,52803,"1205/1207, Locust St.
Davenport, IA 52803
",10/01/2016
5250,East Side Liquor and Tobacco,A,3804 Hubbell Ave,Des Moines,IA,50317,"3804 Hubbell Ave
Des Moines, IA 50317
(41.630805, -93.541437)",10/01/2016
5251,Northside Liquor,A,"1303, North Federal",Mason City,IA,50401,"1303, North Federal
Mason City, IA 50401
(43.163663, -93.201061)",10/01/2016
5252,Freeman Foods of North English,A,"119, Main St",North English,IA,52316,"119, Main St
North English, IA 52316
(41.51484, -92.076446)",10/01/2016
5253,The Corner Store,A,"4200, Lewis Access Rd",Center Point,IA,52213,"4200, Lewis Access Rd
Center Point, IA 52213
(42.181812, -91.774711)",10/01/2016
5254,Discount Liquor,A,2933 1st Ave SE,Cedar Rapids,IA,52402,"2933 1st Ave SE
Cedar Rapids, IA 52402
(42.007104, -91.634871)",10/01/2016
5255,Whole Foods Market,A,4100 University Ave,West Des Moines,IA,50266,"4100 University Ave
West Des Moines, IA 50266
(41.600394, -93.759747)",10/01/2016
5256,Casey's General Store # 1331/ Sac City,A,1304 Main St W,Sac City,IA,50583,"1304 Main St W
Sac City, IA 50583
(42.422724, -94.999958)",10/01/2016
5257,MAD Ave Quik Shop,A,"405, Madison Ave",Ottumwa,IA,52501,"405, Madison Ave
Ottumwa, IA 52501
(40.99908, -92.410446)",10/01/2016
5259,Gameday Liquor,A,"924, Locust St",Glenwood,IA,51534,"924, Locust St
Glenwood, IA 51534
(41.056114, -95.747629)",10/01/2016
5260,GM Food Mart,A,"2881, Highway 61",Muscatine,IA,52761,"2881, Highway 61
Muscatine, IA 52761
(41.386117, -91.100171)",10/01/2016
5261,GM Mini Mart,A,"2307, Lucas Street",Muscatine,IA,52761,"2307, Lucas Street
Muscatine, IA 52761
(41.422913, -91.071546)",10/01/2016
5262,7-Eleven # 34464Z,A,3232 Utica Ridge Rd.,Bettendorf,IA,52722,"3232 Utica Ridge Rd.
Bettendorf, IA 52722
(41.555181, -90.517654)",10/01/2016
5263,Bernie's Booze LLC,A,"950, West View Dr",Rock Valley,IA,51247,"950, West View Dr
Rock Valley, IA 51247
(43.199628, -96.308808)",10/01/2016
5264,Casey's General Store # 2177/Mitchel,A,"309, Center Ave",Mitchellville,IA,50169,"309, Center Ave
Mitchellville, IA 50169
(41.663434, -93.358095)",10/01/2016
5265,Honey Creek Resort State Park/ Gift,A,12633 Resort Drive,Moravia,IA,52571,"12633 Resort Drive
Moravia, IA 52571
(40.87046, -92.918723)",10/01/2016
5266,Crossroads of Albert City,A,"5101, 230th Street",Albert City,IA,50510,"5101, 230th Street
Albert City, IA 50510
(42.777448, -94.953239)",10/01/2016
5308,Crossroads of Hampton,A,4 4th Street SE,Hampton,IA,50441,"4 4th Street SE
Hampton, IA 50441
(42.741445, -93.202491)",10/01/2016
5310,Crossroads of Algona,A,107 Hwy 18 W,Algona,IA,50511,"107 Hwy 18 W
Algona, IA 50511
(43.082796, -94.238911)",10/01/2016
5311,The Liquor Store,A,132 N. Main,Paullina,IA,51046,"132 N. Main
Paullina, IA 51046
(42.981363, -95.687687)",10/01/2016
5312,"B & K One Stop LLC, Washta",A,103 Hwy 31,Washta,IA,51061,"103 Hwy 31
Washta, IA 51061
(42.58255, -95.712289)",10/01/2016
5313,Southside Tobacco & Liquor,A,2424 SW 9th St # 1,Des Moines,IA,50315,"2424 SW 9th St # 1
Des Moines, IA 50315
(41.56373, -93.624729)",10/01/2016
5314,Tobacco Hut & Liquor,A,3134 Manawa Center Dr. # 9,Council Bluffs,IA,51501,"3134 Manawa Center Dr. # 9
Council Bluffs, IA 51501
(41.228712, -95.847514)",10/01/2016
5315,Brother's Market Wine and Spirits,A,110 South Main Street,Sigourney,IA,52591,"110 South Main Street
Sigourney, IA 52591
(41.333293, -92.205105)",10/01/2016
5316,Brother's Market/ Sigourney,A,118 South Main Street,Sigourney,IA,52591,"118 South Main Street
Sigourney, IA 52591
(41.332944, -92.205098)",10/01/2016
5317,Casey's General Store/ Toledo,A,113 Hwy 30 West,Toledo,IA,52342,"113 Hwy 30 West
Toledo, IA 52342
(41.986404, -92.580386)",10/01/2016
5318,First Stop Beverage Shop,A,2839 East University Ave,Des Moines,IA,50317,"2839 East University Ave
Des Moines, IA 50317
(41.600476, -93.561517)",10/01/2016
5267,The Station,A,"2320, 15th Street",Fort Dodge,IA,50501,"2320, 15th Street
Fort Dodge, IA 50501
(42.52931, -94.177989)",10/01/2016
5268,The Depot Atkins,A,"188, Parkridge Rd",Atkins,IA,52206,"188, Parkridge Rd
Atkins, IA 52206
(41.992623, -91.862705)",10/01/2016
5269,Lefty's Convenience Store Inc,A,"105, Main St",Alburnett,IA,52202,"105, Main St
Alburnett, IA 52202
(42.148, -91.618537)",10/01/2016
5270,Casey's General Store # 2783/ Urband,A,"4901, 86th St",Urbandale,IA,50322,"4901, 86th St
Urbandale, IA 50322
(41.649717, -93.736378)",10/01/2016
5271,McElroy's Food Market,A,"135, Madison Street",Winthrop,IA,50682,"135, Madison Street
Winthrop, IA 50682
(42.473031, -91.732493)",10/01/2016
5272,Dyersville Liquor Mart,A,"1021, 2nd Avenue",Dyersville,IA,52040,"1021, 2nd Avenue
Dyersville, IA 52040
(42.482418, -91.112285)",10/01/2016
5273,Casey's General Store # 2598/ Pella,A,"414, Clark Street",Pella,IA,50219,"414, Clark Street
Pella, IA 50219
(41.392186, -92.912522)",10/01/2016
5274,FCA Kingsley C-Store,A,101 Main St,Kingsley,IA,51028,"101 Main St
Kingsley, IA 51028
(42.587074, -95.967322)",10/01/2016
5275,Casey's General Store # 2417/ Newton,A,"1200, W 18th St S",Newton,IA,50208,"1200, W 18th St S
Newton, IA 50208
(41.688376, -93.076066)",10/01/2016
5276,Casey's General Store # 3502/ Stanto,A,616 Halland Ave,Stanton,IA,51573,"616 Halland Ave
Stanton, IA 51573
(40.986507, -95.099535)",10/01/2016
5277,Cubby's Onawa,A,"2715, Iowa Ave",Onawa,IA,51040,"2715, Iowa Ave
Onawa, IA 51040
(42.026608, -96.126534)",10/01/2016
5278,Crossroads fo Spencer,A,"1001, Grand Ave",Spencer,IA,51301,"1001, Grand Ave
Spencer, IA 51301
(43.147815, -95.145207)",10/01/2016
5279,Casey's General Store # 2560,A,"3020, Duff Ave",Ames,IA,50010,"3020, Duff Ave
Ames, IA 50010
(42.05119, -93.618587)",10/01/2016
5280,Yesway Store # 10011/ Mason City,A,1920 Federal Ave S,Mason City,IA,50401,"1920 Federal Ave S
Mason City, IA 50401
(43.133204, -93.201072)",10/01/2016
5281,Yesway Store # 10017/ Fort Dodge,A,115 22nd St N,Fort Dodge,IA,50501,"115 22nd St N
Fort Dodge, IA 50501
(42.507886, -94.168007)",10/01/2016
5282,Yesway Store # 10019/ Mason City,A,1224 Federal Ave N,Mason City,IA,50401,"1224 Federal Ave N
Mason City, IA 50401
(43.163367, -93.201061)",10/01/2016
5283,Yesway Store # 10026/ Mason City,A,1303 4th St SW,Mason City,IA,50401,"1303 4th St SW
Mason City, IA 50401
(43.148339, -93.221539)",10/01/2016
5284,Brooklyn Grocery,A,"122, Front St.",Brooklyn,IA,52211,"122, Front St.
Brooklyn, IA 52211
(41.728699, -92.444377)",10/01/2016
5285,Crossroads of Humboldt,A,"411, 13th Street",Humboldt,IA,50548,"411, 13th Street
Humboldt, IA 50548
(42.715547, -94.22701)",10/01/2016
5286,Sauce,A,"108, College",Iowa City,IA,52240,"108, College
Iowa City, IA 52240
(41.658979, -91.533522)",10/01/2016
5287,Yesway Store # 1029/ Clarion,A,300 Central Ave W,Clarion,IA,50525,"300 Central Ave W
Clarion, IA 50525
(42.731643, -93.735925)",10/01/2016
5288,Yesway Store # 10016/ Fort Dodge,A,1601 5th Ave,Fort Dodge,IA,50501,"1601 5th Ave
Fort Dodge, IA 50501
(42.501112, -94.175805)",10/01/2016
5289,Yesway Store # 10020/ Story City,A,527 Park Ave,Story City,IA,50248,"527 Park Ave
Story City, IA 50248
(42.186722, -93.597789)",10/01/2016
5290,Yesway Store # 10025/ Newton,A,405 1st Ave E,Newton,IA,50206,"405 1st Ave E
Newton, IA 50206
(41.699578, -93.049443)",10/01/2016
5291,JumpStart,A,"109, Locust St",Carter Lake,IA,51510,"109, Locust St
Carter Lake, IA 51510
(41.285058, -95.928952)",10/01/2016
5292,John's Qwik Stop,A,"814, C Ave",Vinton,IA,52349,"814, C Ave
Vinton, IA 52349
(42.163119, -92.027865)",10/01/2016
5293,The Boonedocks,A,"228, N Hwy 71",Arnolds Park,IA,51331,"228, N Hwy 71
Arnolds Park, IA 51331
(43.371031, -95.125869)",10/01/2016
5294,Yesway Store # 10022/ Waterloo,A,1976 Franklin St,Waterloo,IA,50703,"1976 Franklin St
Waterloo, IA 50703
(42.495308, -92.314941)",10/01/2016
5295,Yesway Store # 10023/ Waterloo,A,117 San Marnan Dr E,Waterloo,IA,50702,"117 San Marnan Dr E
Waterloo, IA 50702
(42.457847, -92.355754)",10/01/2016
5296,Yesway Store # 10021/ Webster City,A,1102 2nd St,Webster City,IA,50595,"1102 2nd St
Webster City, IA 50595
(42.469524, -93.831462)",10/01/2016
5297,Yesway Store # 10018/ Webster City,A,1803 Superior St,Webster City,IA,50595,"1803 Superior St
Webster City, IA 50595
(42.459531, -93.815845)",10/01/2016
5298,DeWitt Travel Mart,A,"630, 6th Ave",DeWitt,IA,52742,"630, 6th Ave
DeWitt, IA 52742
(41.82151, -90.538954)",10/01/2016
5299,Pearl City Tobacco & Liquor Outlet,A,"200, Green Street",Muscatine,IA,52761,"200, Green Street
Muscatine, IA 52761
(41.413877, -91.05788)",10/01/2016
5300,Yesway Store # 10013/ Ottumwa,A,534 Church St,Otumwa,IA,52501,"534 Church St
Otumwa, IA 52501
(41.009459, -92.418522)",10/01/2016
5301,Yesway Store # 10012/ Ottumwa,A,2508 Court St N,Ottumwa,IA,52501,"2508 Court St N
Ottumwa, IA 52501
(41.051726, -92.409067)",10/01/2016
5302,Yesway Store # 10034/ Belmond,A,112 River Ave S,Belmond,IA,50421,"112 River Ave S
Belmond, IA 50421
(42.84535, -93.616821)",10/01/2016
5303,Casey's General Store # 3508/ Marsha,A,108 Iowa Ave,Marshalltown,IA,50158,"108 Iowa Ave
Marshalltown, IA 50158
(42.006977, -92.90978)",10/01/2016
5304,Crossroads of Sac City,A,"210, Hwy 20",Sac City,IA,50583,"210, Hwy 20
Sac City, IA 50583
(42.421748, -94.984616)",10/01/2016
5305,Fas Mart # 5150/ Cedar Rapids,A,"3330, 16th Avenue",Cedar Rapids,IA,52404,"3330, 16th Avenue
Cedar Rapids, IA 52404
(41.963571, -91.715563)",10/01/2016
5306,Fas Mart # 5159/ Dubuque,A,"2175, Central Avenue",Dubuque,IA,52001,"2175, Central Avenue
Dubuque, IA 52001
(42.513023, -90.67102)",10/01/2016
5307,Fareway Store # 167/Johnston,A,"6005, Merle Hay Road",Johnston,IA,50131,"6005, Merle Hay Road
Johnston, IA 50131
(41.670127, -93.697658)",10/01/2016
5309,Royal Food,A,1443 2nd Ave,Des Moines,IA,50314,"1443 2nd Ave
Des Moines, IA 50314
(41.605229, -93.619783)",10/01/2016
9001,Cedar Ridge Vineyards,I,1441 Marak Rd NW,Swisher,IA,52338,"1441 Marak Rd NW
Swisher, IA 52338
(41.832116, -91.677511)",10/01/2016
9002,Mississippi River Distillery,I,303 N Cody Rd,Leclaire,IA,52753,"303 N Cody Rd
Leclaire, IA 52753
(41.599733, -90.343594)",10/01/2016
9010,Broadbent Distillery,I,6175 50th Ave,Norwalk,IA,50211,"6175 50th Ave
Norwalk, IA 50211
(41.436471, -93.712268)",10/01/2016
9013,Iowa Distilling Company,I,4349 Cumming Ave.,Cumming,IA,50061,"4349 Cumming Ave.
Cumming, IA 50061
(41.483192, -93.762456)",10/01/2016
9014,Werner Distilling,I,5520 190th St.,Holstein,IA,51025,"5520 190th St.
Holstein, IA 51025
(42.428294, -95.533015)",10/01/2016
9018,Paradise Distilling Company,I,"245, Railroad Ave",Dubuque,IA,52001,"245, Railroad Ave
Dubuque, IA 52001
(42.487323, -90.661945)",10/01/2016
9019,Dehner Distillery,I,7500 University Ave,Clive,IA,50325,"7500 University Ave
Clive, IA 50325
(41.60039, -93.719833)",10/01/2016
9022,Artisan Grain Distillery,I,"318, E 2nd St.",Davenport,IA,52801,"318, E 2nd St.
Davenport, IA 52801
(41.521305, -90.570318)",10/01/2016
9023,Iowa Legendary Rye,I,"314, Prairie View Dr.",Carroll,IA,51401,"314, Prairie View Dr.
Carroll, IA 51401
(42.056362, -94.874691)",10/01/2016
9901,Cedar Ridge,I,1441 Marak Rd NW,Swisher,IA,52338,"1441 Marak Rd NW
Swisher, IA 52338
(41.832116, -91.677511)",10/01/2016
9902,Mississippi River Distilling Co,I,303 N Cody Road,Leclaire,IA,52753,"303 N Cody Road
Leclaire, IA 52753
(41.599733, -90.343594)",10/01/2016
9903,Glazer Distributing,I,4377 NW 112th Street,Urbandale,IA,50322,"4377 NW 112th Street
Urbandale, IA 50322
(41.640109, -93.768781)",10/01/2016
9906,Johnson Brothers Wirtz,I,2515 Dean Avenue,Des Moines,IA,50317,"2515 Dean Avenue
Des Moines, IA 50317
(41.591304, -93.570027)",10/01/2016
9909,Wirtz Beverage,I,"3100 Justin Drive, Ste. F",Urbandale,IA,50322,"3100 Justin Drive, Ste. F
Urbandale, IA 50322
(41.624445, -93.759105)",10/01/2016
9910,Broadbent Distillery,I,6175 50th Ave,Norwalk,IA,50211,"6175 50th Ave
Norwalk, IA 50211
(41.436471, -93.712268)",10/01/2016
9911,North American Spirits,I,501 7th ave SE,Urbandale,IA,50322,"501 7th ave SE
Urbandale, IA 50322
",10/01/2016
9912,Southern Wine & Spirits,I,,Grimes,IA,50111,"Grimes, IA 50111
(41.683934, -93.789256)",10/01/2016
9913,Iowa Distilling Company,I,4349 Cumming Ave.,Cumming,IA,50061,"4349 Cumming Ave.
Cumming, IA 50061
(41.483192, -93.762456)",10/01/2016
9914,Werner Distilling,I,5520 190th St.,Holstein,IA,51025,"5520 190th St.
Holstein, IA 51025
(42.428294, -95.533015)",10/01/2016
9915,Sipp'n,I,303 SE  2nd St.,Grimes,IA,50111,"303 SE 2nd St.
Grimes, IA 50111
(41.687449, -93.791954)",10/01/2016
9916,G & G Distributors,I,,Des Moines,IA,50312,"Des Moines, IA 50312
(41.585489, -93.674747)",10/01/2016
9918,Paradise Distilling Company,I,"245, Railroad Ave",Dubuque,IA,52001,"245, Railroad Ave
Dubuque, IA 52001
(42.487323, -90.661945)",10/01/2016
9919,Dehner Distillery,I,"7500, University Ave",Clive,IA,50325,"7500, University Ave
Clive, IA 50325
(41.60039, -93.719833)",10/01/2016
9920,Louisiana Spirits LLC,I,"20909, South I-10 Frontage Rd",Lacassine,IA,70650,"20909, South I-10 Frontage Rd
Lacassine, IA 70650
",10/01/2016
9921,maDIKwe USA,I,"3101, Ingersoll Ave",Des Moines,IA,50312,"3101, Ingersoll Ave
Des Moines, IA 50312
(41.586203, -93.659572)",10/01/2016
